Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.04302E-4,46.017474832,0.633713551,0.039616805,0.238095238,0.625
6.09085E-4,46.260444282,0.636613385,0.039217643,0.238095238,0.625
6.10016E-4,46.5043888,0.637175578,0.038818481,0.238095238,0.625
6.17945E-4,46.750812763,0.641925467,0.038419319,0.285714286,0.625
6.22205E-4,47.061380059,0.644451692,0.037920367,0.285714286,0.625
6.25776E-4,47.311120893,0.646555602,0.037521205,0.285714286,0.625
6.30305E-4,47.562366344,0.64920557,0.037122044,0.285714286,0.625
6.43183E-4,47.753714774,0.656634166,0.036822672,0.285714286,0.625
6.47872E-4,48.012214161,0.659299316,0.036423511,0.285714286,0.625
6.51674E-4,48.272519429,0.661445695,0.036024349,0.333333333,0.625
6.57801E-4,48.535048027,0.664875692,0.035625187,0.333333333,0.625
6.62007E-4,48.798992935,0.667209946,0.035226025,0.333333333,0.625
6.67038E-4,49.06475726,0.669980962,0.034826864,0.333333333,0.625
6.70391E-4,49.265430017,0.67181516,0.034527492,0.333333333,0.625
6.72699E-4,49.534132646,0.673071348,0.034128331,0.333333333,0.625
6.82085E-4,49.805471764,0.678131691,0.033729169,0.333333333,0.625
6.85902E-4,50.011095542,0.680167215,0.033429797,0.333333333,0.625
6.96858E-4,50.288188832,0.685938195,0.033030636,0.380952381,0.625
7.04221E-4,50.569376307,0.689758179,0.032631474,0.380952381,0.625
7.08231E-4,50.781323046,0.691818644,0.032332103,0.380952381,0.625
7.12734E-4,51.065456896,0.694116378,0.031932941,0.380952381,0.625
7.15E-4,51.279729207,0.695266375,0.03163357,0.380952381,0.625
7.17804E-4,51.566288757,0.696683204,0.031234408,0.380952381,0.625
7.1994E-4,51.781944038,0.697758156,0.030935036,0.380952381,0.625
7.33495E-4,52.07304056,0.704490951,0.030535875,0.380952381,0.75
7.42772E-4,52.295158437,0.709012157,0.030236503,0.380952381,0.75
7.49388E-4,52.518724983,0.712194306,0.029937132,0.380952381,0.75
7.61667E-4,52.821847599,0.718008168,0.02953797,0.428571429,0.75
7.75411E-4,53.052895514,0.724376172,0.029238599,0.428571429,0.75
7.79478E-4,53.286126433,0.726232922,0.028939228,0.428571429,0.75
7.83306E-4,53.520729332,0.727969154,0.028639856,0.428571429,0.75
7.87374E-4,53.756464088,0.729802314,0.028340485,0.428571429,0.75
7.92734E-4,54.072970166,0.732198712,0.027941323,0.428571429,0.75
7.98318E-4,54.311497875,0.734672261,0.027641952,0.428571429,0.75
