SPECIES,LONG_WGS84,LAT_WGS84,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-118.0619,36.6061,-118.0619,36.6061,1138,1504,1690,43,75915,3622.050049,-268.825012,3890.875,549,2511,2511,549,15532.125,4066.725098,212.899994,87,8897.300781,1076.300049,1076,8897
Microtus californicus,-118.11231,36.59499,-118.11231,36.59499,1377,1396,1503,41,72698,3383.274902,-216.350006,3599.625,480,2101,2359,480,17789.02539,4820.149902,240.75,89,10162.1748,1225.125,1301,10162
Microtus californicus,-118.214801,36.826074,-118.214801,36.826074,1188,1459,1725,44,75468,3557.199951,-352.850006,3910.050049,509,2219,2459,509,15254.4502,3264,326.924988,77,8364.25,1292.125,1326,8364
Microtus californicus,-118.34519,37.40065,-118.34519,37.40065,1257,1289,2078,48,75947,3643.600098,-642.950012,4286.550293,342,2223,2301,342,11316.5498,2343.725098,339.424988,63,5654.675293,1119.199951,1251,5655
Microtus californicus,-118.29121,37.40766,-118.29121,37.40766,1670,1186,1797,44,77807,3391.949951,-673.200012,4065.149902,373,2143,2217,208,16318.7002,3087.074951,529.325012,55,7348.975098,1848.949951,2171,7228
Microtus californicus,-120.3792,36.7808,-120.3792,36.7808,47,1638,1650,47,64821,3651.25,145.550003,3505.699951,983,2477,2477,813,19955.07422,3779.725098,19.725,85,10968.125,147.625,148,10334
Microtus californicus,-120.839609,35.38855,-120.839609,35.38855,33,1317,1115,67,17074,2093.074951,430.200012,1662.875,1131,1483,1528,1086,46323.42578,10175.0498,48.799999,97,27783.97656,506.300018,1116,27400
Microtus californicus,-120.84366,35.28734,-120.84366,35.28734,234,1314,1251,70,19738,2140.574951,365.174988,1775.399902,1037,1534,1553,1037,57828,13209.625,49.575001,99,35465.42578,510.375,1191,35465
Microtus californicus,-120.84938,35.366994,-120.84938,35.366994,40,1349,1089,66,16954,2129.300049,487.725006,1641.575073,1159,1505,1555,1121,44205.32422,9652.425781,47.174999,96,26416.05078,498.199982,1114,25647
Microtus californicus,-121.31782,35.764517,-121.31782,35.764517,28,1303,1144,67,18271,2119.125,434.125,1685,1055,1491,1531,1055,69076.54688,16100.72461,21.049999,100,43601.5,401.650024,1870,43602
Microtus californicus,-121.086439,35.557241,-121.086439,35.557241,77,1325,1161,68,18652,2114.574951,408.525024,1706.049927,1076,1530,1561,1076,56857.82422,13609.59961,21.575001,100,35999.39844,395.850006,1444,35999
Microtus californicus,-120.6973,35.723588,-120.6973,35.723588,198,1519,1924,55,51220,3552.550049,76.824997,3475.725098,989,2189,2189,889,33418.77344,8017.725098,23.025,98,20616.40039,337.225006,337,19767
Microtus californicus,-119.1805,35.07567,-119.1805,35.07567,147,1792,1570,44,68819,3773.225098,226.400009,3546.825195,1098,2701,2701,932,15098.0752,3051.75,26.974998,82,8345.900391,201.824997,202,7004
Microtus californicus,-117.905733,35.936983,-117.905733,35.936983,973,1629,1640,41,77828,3780.024902,-128.625,3908.649902,823,2665,2665,667,15177.52539,3172.225098,266.850006,73,7899.600098,1265.600098,1266,7793
Microtus californicus,-121.898014,36.57092,-121.898014,36.57092,189,1332,1145,64,20503,2255.949951,482.399994,1773.549927,1059,1536,1596,1059,49421.97656,11710.47461,46.875,96,29438.97461,608,1126,29439
Microtus californicus,-121.021059,36.118995,-121.021059,36.118995,106,1487,1850,61,41434,3131,103.474999,3027.524902,1039,1992,2007,952,28608.17578,6308.649902,19.299999,98,17605.05078,275.549988,601,16682
Microtus californicus,-123.485194,39.686337,-123.485194,39.686337,497,1231,1618,54,47959,3025.524902,37.025002,2988.5,655,1872,1878,655,184547.5781,37049.25,158.399994,87,103100.2266,2668.125,3810,103100
Microtus californicus,-122.127884,37.830536,-122.127884,37.830536,150,1369,1190,49,42882,2709.949951,306.225006,2403.724854,806,1888,1904,806,61904.22656,13505.7002,18.525,93,35981.39844,596.875,1254,35981
Microtus californicus,-121.946533,39.240328,-121.946533,39.240328,16,1609,1491,45,61585,3566.574951,255.175003,3311.399902,826,2417,2417,826,40420.44922,8271.924805,4.25,89,23138.77539,568.725037,569,23139
Microtus californicus,-124.05,40.53,-124.05,40.53,58,1220,908,53,27457,2106.800049,423.174988,1683.625,863,1546,1573,863,118152.6016,21761.59961,270.049988,81,61539.375,2402.75,2783,61539
Microtus californicus,-124.058692,40.537916,-124.058692,40.537916,41,1216,936,54,28687,2137.975098,407.575012,1730.400146,840,1559,1581,840,118155.7266,21708.15039,270.049988,81,61286.75,2420.850098,2765,61287
