"SPECIES","LONG_WGS84","LAT_WGS84","LONGITUDE","LATITUDE","ELEVATION","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Microtus longicaudus",-121.494,46.6861,-121.494,46.6861,1006,636,959,35,60995,2293.081055,-415.481262,2708.562256,-24,1464,1464,-77,199593.5938,34947.33594,2852.743652,67,99592.82031,13374.625,13375,89760
"Microtus longicaudus",-121.8499,46.732719,-121.8499,46.732719,745,757,1057,40,55899,2374.606201,-258.643738,2633.25,135,1502,1502,99,194561.2969,30160.06836,3786.3125,57,89794.99219,16901.61328,16902,79517
"Microtus longicaudus",-121.546271,46.747019,-121.546271,46.747019,989,746,1121,38,61129,2541.03125,-333.643738,2874.675049,80,1567,1567,37,197557.4063,35553.63672,2746.09375,68,100027.0859,12932.2373,12932,89938
"Microtus longicaudus",-114.1851,48.3728,-114.1851,48.3728,936,641,1285,35,81852,2771.181152,-882.587524,3653.768555,1480,1222,1711,-397,49635.09766,6991.324707,2972.274902,28,16693.49219,9766.512695,14129,12401
"Microtus longicaudus",-107.515972,38.412603,-107.515972,38.412603,2323,578,1792,41,85886,2814.84375,-1537.931274,4352.774902,1236,-554,1673,-554,34911.90625,4289.037598,1831.681274,25,11907.53125,6745.881348,8979,6746
"Microtus longicaudus",-107.519283,38.443284,-107.519283,38.443284,2237,599,1707,40,85271,2794.5,-1429.637451,4224.137695,1254,-517,1692,-517,37240.28125,4417.181152,1922.21875,23,12457.46875,7556.768555,9480,7557
"Microtus longicaudus",-107.269749,38.542711,-107.269749,38.542711,2679,458,1584,38,87652,2608.587402,-1509.662476,4118.25,1508,-92,1582,-695,42219.10547,5556.331055,2128.574951,31,15227.64355,6966.481445,13766,9075
"Microtus longicaudus",-121.912304,46.10218,-121.912304,46.10218,528,816,1183,42,57301,2497.618652,-273.28125,2770.899902,167,1568,1571,123,255441.0781,42581.70703,2972.649902,67,124454.7891,15068.27539,15786,114810
"Microtus longicaudus",-121.896965,46.739781,-121.896965,46.739781,664,777,1021,40,53594,2343.5,-201.856262,2545.356201,184,1490,1492,149,189656.7656,28986.64453,3932.574951,55,85653.26563,16879.46875,17327,75710
"Microtus longicaudus",-121.9023,46.933919,-121.9023,46.933919,1207,630,864,37,51716,1967.4375,-328.59375,2296.03125,97,1357,1357,43,206367.6563,29420.67969,6289.612305,40,78531.96875,23726.20703,23726,68653
"Microtus longicaudus",-122.1853,47.1772,-122.1853,47.1772,184,1034,1002,42,49422,2443.962402,60.118752,2383.84375,478,1684,1686,442,112488.125,16969.26953,2865.068848,50,48117.30469,11153.1748,11778,42221
"Microtus longicaudus",-120.98127,47.17859,-120.98127,47.17859,598,793,1209,37,72416,2663.274902,-555.287476,3218.5625,-56,1743,1743,-115,62385.82031,11953.15039,1076.425049,72,33620.07031,4912.287598,4912,29202
"Microtus longicaudus",-120.0991,46.9785,-120.0991,46.9785,710,878,1144,34,77302,2801.65625,-515.1875,3316.84375,-62,1843,1877,-103,22435.60547,4161.28125,800.331238,53,10281.91211,2650.106445,3085,8848
"Microtus longicaudus",-119.192081,37.174931,-119.192081,37.174931,2284,680,1362,47,54441,2319.324951,-566.387512,2885.712402,81,1421,1428,81,114784.3906,21170.90625,677.481262,79,59136.09375,3645.524902,4364,59136
"Microtus longicaudus",-109.35823,37.70748,-109.35823,37.70748,1996,910,1467,37,84344,3028.568848,-877.631226,3906.200195,1544,1303,2026,-148,37751.67578,4514.081055,1241.768799,28,12585.8252,5794.225098,8370,9860
"Microtus longicaudus",-109.50921,37.90181,-109.50921,37.90181,2537,624,1136,34,76450,2492.587402,-843.5,3336.087402,-169,956,1656,-302,68911.92188,8656.505859,2004.943848,31,23277.77539,10009.8877,12992,22275
"Microtus longicaudus",-118.5969,48.5469,-118.5969,48.5469,1232,462,1207,34,77817,2443.6875,-1042.006226,3485.693848,-472,1436,1458,-520,48903.8125,5912.243652,2516.9375,25,14760.07422,8976.762695,9627,13230
"Microtus longicaudus",-118.818602,48.554232,-118.818602,48.554232,1041,564,1342,37,76998,2608.131348,-943.15625,3551.287598,-370,1139,1553,-414,42652.88672,5242.893555,2225.350098,26,13191.09961,7269.325195,9930,12019
"Microtus longicaudus",-118.186372,48.73199,-118.186372,48.73199,1041,702,1051,30,85527,2689.643799,-784.393738,3474.037598,-339,1762,1793,-374,59933.0625,7779.543945,2868.03125,31,21295.32422,9017.224609,11199,19040
"Microtus longicaudus",-123.79,44.43,-123.79,44.43,303,1113,1102,46,46089,2549.931152,165.412506,2384.518555,607,1698,1742,568,276384.375,51067.66406,1903.849976,73,140130.3125,12313.09961,14343,130895
"Microtus longicaudus",-112.6755,37.6378,-112.6755,37.6378,2591,497,1399,40,71994,2367.143799,-1074.131226,3441.274902,-268,1223,1466,-370,55122.86328,6804.693848,1831.081299,27,18119.58203,9051.706055,10900,16001
"Microtus longicaudus",-112.58095,40.49284,-112.58095,40.49284,2073,667,1092,32,79493,2566.356201,-812.049988,3378.40625,159,1747,1747,-293,75976.71094,9100.081055,3368.699951,31,24984.94336,10591.8623,10592,22786
"Microtus longicaudus",-123.920332,46.411219,-123.920332,46.411219,160,927,969,48,39829,2075.931152,57.762501,2018.168701,472,1433,1453,438,244365.6719,37695.99219,4547.581055,59,111037.7656,18486.97461,19021,101410
"Microtus longicaudus",-115.925,39.4016,-115.925,39.4016,2124,759,1510,39,81319,2934.662598,-922.512512,3857.175049,596,1853,1853,-227,32767.76172,4055.543701,1564.337524,28,11621.80664,5426.869141,5427,8040
"Microtus longicaudus",-112.91341,37.59466,-112.91341,37.59466,2578,592,1225,37,73280,2405.949951,-886.112488,3292.0625,-181,1324,1583,-279,71427.76563,10063.875,1998.387451,32,24812.6875,11027.77441,13499,20551
"Microtus longicaudus",-113.41389,41.92111,-113.41389,41.92111,2701,155,1166,35,72617,2087.899902,-1173.462524,3261.362305,-30,1142,1142,-696,72766.32813,8647.994141,2890.46875,39,25052.10547,8894.599609,8895,23739
"Microtus longicaudus",-113.31722,41.95472,-113.31722,41.95472,1967,651,1119,31,82475,2727.837402,-800.493774,3528.331055,501,1726,1750,-358,41947.30469,6045.5625,2388.493652,28,15063.90625,8358.443359,8712,9578
"Microtus longicaudus",-118.741888,36.596938,-118.741888,36.596938,2153,505,1478,44,65216,2373.65625,-932.893738,3306.550049,-166,1373,1373,-270,111919.9766,21321.04297,717.975037,83,60601.375,3308.743652,3309,59317
"Microtus longicaudus",-118.783501,36.618102,-118.783501,36.618102,2249,569,1468,46,59820,2327.418701,-855.418762,3182.837402,-59,1380,1380,-115,117418.2656,21954.76172,954.256226,80,62233.125,3725.725098,3726,60874
"Microtus longicaudus",-120.7188,48.3441,-120.7188,48.3441,378,940,1146,34,80322,2964.693848,-393.787506,3358.481445,0,1994,1994,-52,89664.19531,18085.50586,1353.068726,80,50519.64844,5248.337402,5248,43815
"Microtus longicaudus",-120.734971,48.355082,-120.734971,48.355082,441,870,1103,33,78891,2858.006348,-454.21875,3312.225098,-48,1902,1902,-116,93596.25781,19609.80078,1422.818726,82,53823.25781,5418.493652,5418,46379
"Microtus longicaudus",-120.7188,48.3587,-120.7188,48.3587,768,731,1066,32,80479,2667.324951,-635.59375,3302.918701,-225,1776,1776,-277,112747.6797,23541.60547,1578.787476,85,65878.375,5938.537598,5939,56360
"Microtus longicaudus",-120.745829,48.362318,-120.745829,48.362318,404,868,1111,33,78920,2857.837402,-465.131226,3322.96875,-51,1897,1897,-121,92035.44531,18913.57422,1412.581299,81,52356.9375,5405.25,5405,45270
"Microtus longicaudus",-120.7621,48.3732,-120.7621,48.3732,454,823,1134,34,77999,2805.03125,-503.018738,3308.050049,-90,1840,1840,-154,110755.1094,21594.85547,1546.78125,79,61736.51172,6290.162598,6290,53734
"Microtus longicaudus",-109.43244,37.87417,-109.43244,37.87417,2572,622,1135,34,77194,2495.581299,-839.275024,3334.856445,-175,966,1664,-313,67367.54688,8343.512695,1883.693726,30,22405.49414,9777.875,12629,21604
"Microtus longicaudus",-109.27275,38.5008,-109.27275,38.5008,2746,603,1281,37,72626,2441.175049,-996.037476,3437.212402,-157,1337,1588,-277,79501.875,9593.53125,2607.149902,29,25454.54297,11398.2373,13037,23256
"Microtus longicaudus",-113.31972,39.38083,-113.31972,39.38083,2427,738,1078,33,75102,2525.3125,-692.956238,3218.268799,-21,1785,1785,-127,60704.73047,8237.799805,1618.59375,47,22507.375,5364.549805,5365,21730
"Microtus longicaudus",-119.69,43.87,-119.69,43.87,1608,550,1584,43,67878,2685.081299,-922.462524,3607.543945,-218,1433,1456,-276,48976.35547,6592.931152,1276.743774,43,18582.96875,4914.831055,5763,17139
"Microtus longicaudus",-120,44.32,-120,44.32,1491,633,1367,41,66927,2597.675049,-725.481262,3323.15625,-120,1516,1529,-172,55144.04297,8162.975098,1715.75,47,22603.40039,5515.712402,6610,21250
"Microtus longicaudus",-111.01145,40.59385,-111.01145,40.59385,2585,367,1600,40,78696,2560.587402,-1358.287476,3918.875,-164,1424,1424,-589,77995.24219,8397.299805,3283.681152,28,24534.01172,11541.15625,11541,24092
"Microtus longicaudus",-119.4,43.8,-119.4,43.8,1541,588,1522,42,70080,2703.693848,-887.299988,3590.993896,-209,1502,1523,-268,40363.71875,5020.743652,1274.137451,40,14416.58789,4516.956055,5053,13599
"Microtus longicaudus",-118.58,44.5,-118.58,44.5,1605,644,1286,38,71792,2647.362549,-724.96875,3372.331299,-165,1606,1606,-208,67649.82813,10429.90039,2442.887451,45,28161.19922,8523.049805,8523,26550
"Microtus longicaudus",-111.17306,40.63083,-111.17306,40.63083,2209,524,1559,39,81534,2748.625,-1151.381226,3900.006348,-309,1611,1611,-478,63578.03125,6764.306152,2655.200195,27,19704.73828,9560.069336,9560,19373
"Microtus longicaudus",-116.3747,47.0282,-116.3747,47.0282,905,657,1320,38,72770,2764.96875,-646.762512,3411.731201,-186,1561,1623,-243,103740.2734,15217.27539,3278.699951,46,43084.53906,11037.33105,12332,40361
"Microtus longicaudus",-113.85295,39.85141,-113.85295,39.85141,2381,759,1367,36,81214,2870.743652,-838.543762,3709.287354,575,-125,1866,-203,44735.96094,5847.799805,2345.112549,25,15205.6875,8814.606445,9083,9180
"Microtus longicaudus",-112.1275,36.4472,-112.1275,36.4472,2693,709,1399,40,73810,2602.3125,-821.849976,3424.162598,-56,1025,1707,-164,71726.51563,10616.625,1890.481201,40,28176.76172,9422.875,13933,23949
"Microtus longicaudus",-121.286838,48.663882,-121.286838,48.663882,185,1018,941,36,59779,2574.337402,-17.3375,2591.674805,325,1780,1780,277,199855.9219,33537.49219,4427.462402,62,96245.50781,16014.52539,16015,82392
"Microtus longicaudus",-113.4525,37.31722,-113.4525,37.31722,2079,991,1346,38,76075,2900.912598,-608.556274,3509.46875,208,1765,2023,91,47995.05078,6729.90625,1444.3125,34,17045.40039,7244.125,9281,13869
"Microtus longicaudus",-111.4825,39.11639,-111.4825,39.11639,3057,234,1226,38,70158,2034.212524,-1182.056274,3216.268799,-499,1193,1193,-597,85835.69531,11230.66895,3060.662598,32,28389.97461,12436.86328,12437,26648
"Microtus longicaudus",-111.13055,39.423611,-111.13055,39.423611,2224,526,1509,38,83892,2683.893799,-1226.574951,3910.46875,-359,1626,1626,-532,46562.50781,4768.100098,2141.756348,18,13320.56836,8748.606445,8749,12695
"Microtus longicaudus",-117.0552,45.9176,-117.0552,45.9176,873,873,1379,38,75903,3001.006348,-552.731262,3553.737549,1206,1838,1872,-62,44560.82422,5632.975098,2685.231445,24,14942.58105,8122.5625,10096,10547
"Microtus longicaudus",-117.0552,45.9322,-117.0552,45.9322,774,979,1370,38,75797,3094.493652,-437.331238,3531.824951,1312,1941,1978,43,42734.25,5328.924805,2604.800049,24,14429.08105,7952.243652,9915,9841
"Microtus longicaudus",-109.31404,38.50798,-109.31404,38.50798,2573,677,1242,36,75021,2539.318848,-897.537476,3436.856445,-115,1442,1687,-232,67449.54688,7744.806152,2318.618652,26,20869.40039,10596.70605,11965,19224
"Microtus longicaudus",-109.27962,38.52228,-109.27962,38.52228,2850,513,1226,36,72742,2320.524902,-1021.224976,3341.75,-257,1255,1503,-355,81452.82031,9903.831055,2597.418701,29,26291.49414,11599.55664,13263,23917
