presentAbsent,DRAINAGE_DENS,CV_TEMP
0,2.0425,1.8202
0,2.0244,1.85
0,0.4613,1.6
0,1.3475,1.8511
0,1.2457,1.55
0,1.8387,1.504
0,2.1785,1.64
0,0.1283,1.78
0,0.7634,1.68
0,2.1226,1.83
0,1.7088,1.54
0,1.6763,1.48
0,1.859,1.6466
0,2.0779,1.6486
0,1.3123,1.47
0,2.0638,1.79
0,1.4214,1.6303
0,1.5152,1.58
0,1.8761,1.794
0,2.2307,1.9097
0,0.9269,1.6662
0,1.5243,1.54
0,2.0475,1.87
0,2.5881,1.8174
0,1.6816,1.5589
0,2.0146,1.8122
0,2.3435,1.7692
0,3.4487,1.69
0,0.5947,1.6924
0,1.7614,1.7298
0,1.8556,1.6841
0,1.6811,1.8408
0,2.534,1.67
0,2.2751,1.76
0,0.8672,1.48
0,1.4645,1.69
0,1.7484,1.6092
0,0.5836,1.7044
0,2.1459,1.8298
0,2.111,1.4946
0,1.6986,1.502
0,1.029,1.61
0,1.9957,1.7627
0,1.8796,1.7286
0,1.3609,1.4313
0,1.978,1.4883
0,0.8506,1.75
0,2.05,1.84
0,1.0583,1.61
0,1.4816,1.6704
0,1.8004,1.6502
0,1.024,1.65
0,2.0073,1.8582
0,1.9424,1.68
0,0.0733,1.81
0,1.6452,1.8315
0,15.3746,1.78
0,1.263,1.6024
0,0.4237,1.6699
0,5.1897,1.85
0,5.4824,1.64
0,0.5518,1.72
0,2.2337,1.8808
0,1.0739,1.8313
0,2.6627,1.68
