SPECIES,LONG_WGS84,LAT_WGS84,YEAR,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Callospermophilus lateralis,-120.21065,39.42134,1975,536,1713,48,62048,2582.975098,-926.193726,3509.168945,-217,1354,1354,-217,84382.35938,14105.00586,1102.5,73,41282.82422,3819.712402,3820,41283
Callospermophilus lateralis,-123.088903,39.51077,1975,1085,997,36,64611,2646.143799,-112.162499,2758.306396,358,1919,1960,358,179241.3281,34601.99219,327.75,85,95007.61719,3038.9375,4536,95008
Callospermophilus lateralis,-113.3529,45.602,1975,223,1622,40,83872,2521.274902,-1521.556274,4042.831055,649,-855,1316,-855,36275.17969,4987.174805,1909.03125,31,13324.89941,6534.793945,10669,6535
Callospermophilus lateralis,-113.3531,45.6311,1975,249,1244,36,73814,2250.131348,-1150.125,3400.256348,544,-648,1240,-648,47459.42578,6367.743652,2955.887451,26,16809.94336,9508.1875,12587,9508
Callospermophilus lateralis,-111.28,40.64306,1976,679,1667,41,82540,2977.068848,-1079.418701,4056.487549,722,1766,1766,-362,42406.34375,4479.1875,2451.725098,18,12149.52539,7658.981445,7659,10752
Callospermophilus lateralis,-120.0281,39.5653,1976,786,1621,45,68290,2879.462402,-694.206299,3573.668701,-31,1697,1697,-31,53822.26953,9428.731445,603.168762,75,28127.39453,3130.356201,3130,28127
Callospermophilus lateralis,-120.189719,39.401672,1976,656,1768,47,65629,2763.337402,-928.075012,3691.412354,-156,1518,1518,-156,80276.07813,13728.90625,864.3125,75,40769.13281,3476.90625,3477,40769
Callospermophilus lateralis,-118.1742,45.4308,1977,649,1092,34,70611,2521.018799,-600.806274,3121.825195,-145,1594,1594,-196,69861.17188,9228.681641,2011.556152,41,27108.08789,8100.875,8101,24866
Callospermophilus lateralis,-118.1742,45.438,1977,652,1079,34,70086,2501.212402,-593.193726,3094.40625,-137,1590,1590,-181,75302.08594,10287.93164,2013.262451,44,29854.65039,8030.649902,8031,27504
Callospermophilus lateralis,-117.48,45.76,1977,807,1190,35,72448,2790.199951,-536.049988,3326.25,-6,1758,1771,-66,64610.85156,8365.049805,2258.393799,37,24171.84375,8110.162598,9605,22327
Callospermophilus lateralis,-117.2792,45.8163,1977,709,1092,33,73899,2640.46875,-606.681274,3247.149902,-124,1694,1694,-176,59321.35547,6996.75,2797.331299,29,19638.01953,9173.599609,9174,17542
Callospermophilus lateralis,-120.04,41.96,1977,745,1375,40,70934,2770.606201,-644.012451,3414.618652,-16,1689,1699,-92,49140.73047,7343.03125,991.268738,53,20223.76172,3718.237549,4121,19653
Callospermophilus lateralis,-120.09,41.08,1977,595,1446,42,66926,2634.081299,-785.862488,3419.943848,-120,1482,1496,-188,57820.21094,8384.0625,1053.881226,49,21840.71875,4102.131348,5699,21647
Callospermophilus lateralis,-119.92,41.46,1977,612,1411,40,71385,2680.943848,-830.631226,3511.575195,-155,1542,1574,-240,34593.65625,4203.818848,837.231262,39,11934.00586,3805.556152,4812,10753
