"SPECIES","LONG_WGS84","LAT_WGS84","LONGITUDE","LATITUDE","ELEVATION","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Microtus longicaudus",-115.11,40.92,-115.11,40.92,3078,201,1279,38,68038,2075.899902,-1229.375,3305.274902,-523,1117,1130,-601,92063.82031,14073.2998,2215.425049,51,37940.89844,8071.799805,9334,37723
"Microtus longicaudus",-115.25444,41.01889,-115.25444,41.01889,1651,691,1932,43,83151,3159.725098,-1251.449951,4411.174805,644,1708,1774,-393,28606.30078,3835.050049,1039.125,37,10248,3537.024902,4100,8389
"Microtus longicaudus",-120.175277,39.104047,-120.175277,39.104047,2038,527,1484,45,60886,2445.524902,-812.125,3257.649902,-195,1358,1358,-195,98428.97656,18877.59961,430.5,81,52495.39844,2949.924805,2950,52495
"Microtus longicaudus",-117.1625,39.25556,-117.1625,39.25556,2347,718,1051,32,76747,2624.949951,-655.474976,3280.424805,-105,1736,1762,-190,53878.57422,7586.100098,1669.974976,42,20580.375,6467.225098,7480,18249
"Microtus longicaudus",-115.51193,39.23256,-115.51193,39.23256,2547,428,1364,38,76711,2498.475098,-1088.400024,3586.875,-143,1470,1470,-489,42161.92578,5677.399902,1772.375,38,15773.22461,5958.950195,5959,12467
"Microtus longicaudus",-115.54149,39.25306,-115.54149,39.25306,2902,273,1333,38,72761,2259.524902,-1218.375,3477.899902,-286,1265,1265,-595,48255.77344,6613.875,1996.824951,41,18530.09961,6516.799805,6517,14409
"Microtus longicaudus",-114.64778,39.80556,-114.64778,39.80556,2368,685,1347,37,79126,2742.149902,-895.174988,3637.324951,108,1720,1769,-258,32185.42578,4169.950195,1512.175049,34,11567.77539,5170.225098,5386,9821
"Microtus longicaudus",-114.885,39.90056,-114.885,39.90056,1887,793,1744,41,82856,3136.774902,-1078.800049,4215.575195,684,835,1904,-251,22214.84961,2637.649902,1358.275024,18,6690,4782.275391,5093,5650
"Microtus longicaudus",-117.034396,39.395973,-117.034396,39.395973,2220,769,1168,34,76328,2728.425049,-635.049988,3363.475098,200,1782,1813,-135,43081.69922,5958.725098,1463.050049,41,16130.40039,5237.75,5949,13803
"Microtus longicaudus",-116.86,44.76,-116.86,44.76,1263,697,1293,35,79688,2815.199951,-874.025024,3689.225098,-180,1727,1739,-308,53144.80078,6787.549805,1347.25,40,19551.55078,5354.399902,6919,19231
"Microtus longicaudus",-116.63,45.08,-116.63,45.08,1466,542,1470,38,75815,2742.100098,-1044.074951,3786.175049,-285,1496,1537,-425,72044.10156,9801.900391,1563.349976,47,28465.125,6231.375,7930,27760
"Microtus longicaudus",-116.57,45.13,-116.57,45.13,2112,248,1357,38,71211,2248.774902,-1287.900024,3536.674805,-524,1187,1187,-637,109530.0781,16395.07422,1740.974976,54,45668.19922,7641.399902,7641,44771
"Microtus longicaudus",-116.54,45.18,-116.54,45.18,2014,207,1353,39,69619,2195.074951,-1258.25,3453.324951,-652,1128,1128,-652,107688.9219,16557.25,1829.175049,52,44477,8018.149902,8018,44477
"Microtus longicaudus",-116.8667,44.7664,-116.8667,44.7664,1098,830,1234,33,83038,2974.175049,-732.950012,3707.125,-109,1886,1902,-238,51171.92578,6380.599609,1291.550049,40,18528.32422,5167.549805,6718,18216
"Microtus longicaudus",-116.6367,45.0884,-116.6367,45.0884,1624,509,1405,37,76737,2652.399902,-1054.375,3706.774902,-327,1493,1525,-452,81893.64844,11596.125,1618.25,49,33016.32422,6535.450195,8208,32366
"Microtus longicaudus",-112.2831,42.7575,-112.2831,42.7575,1649,709,1353,34,87845,2925.225098,-1007.025024,3932.25,-248,1862,1862,-413,52523.72656,6271.625,2402.824951,29,18014.57422,8138.775391,8139,17151
"Microtus longicaudus",-112.3778,42.6922,-112.3778,42.6922,2009,542,1156,31,84897,2625.824951,-1039.324951,3665.149902,-370,1633,1675,-513,74326.92188,9796.900391,2660.550049,42,28433.52539,8889.174805,9137,27452
"Microtus longicaudus",-119.601803,37.513824,-119.601803,37.513824,1954,964,1410,45,60760,2708.800049,-400.600006,3109.400146,285,1798,1798,269,116616.5,25179.82422,185.524994,90,68289.27344,2161.274902,2161,63277
"Microtus longicaudus",-110.7194,32.3814,-110.7194,32.3814,2067,1131,1261,43,61570,2643.675049,-239.699997,2883.375,1868,1421,1918,363,75213.04688,16384.40039,1376.5,68,37496.69922,5392.200195,29952,18496
"Microtus longicaudus",-113.7097,41.9163,-113.7097,41.9163,1868,680,1450,36,86230,2935.149902,-1090.375,4025.524902,1015,1353,1829,-400,29564.82422,3414.149902,1503.149902,21,8651.275391,5770.950195,6812,8400
"Microtus longicaudus",-120.4269,44.3964,-120.4269,44.3964,1260,616,1650,44,67774,2771.024902,-922.724976,3693.75,-156,1481,1493,-253,39548.69922,5428.924805,1074.800049,40,15233.4248,4968.075195,5569,14158
"Microtus longicaudus",-122.2111,42.3499,-122.2111,42.3499,1520,640,1439,45,59842,2567.024902,-626.650024,3193.674805,-12,1434,1434,-90,101867.0469,15754.7998,1164.074951,57,43828.60156,6696.725098,6697,41652
"Microtus longicaudus",-115.9076,46.3966,-115.9076,46.3966,955,697,1358,37,74662,2808.949951,-816.724976,3625.674805,-153,1628,1677,-248,95810.72656,12299.15039,2157.274902,42,36168.75,9657.699219,11196,33807
"Microtus longicaudus",-115.7236,47.5169,-115.7236,47.5169,1801,249,827,27,71491,1990.375,-1036.349976,3026.725098,-504,1201,1201,-616,132568.625,18135.65039,3116.449951,46,53245.125,13518.2998,13518,49866
"Microtus longicaudus",-112.3667,42.6892,-112.3667,42.6892,2048,586,1176,32,84023,2685.375,-987.400024,3672.774902,-325,1657,1695,-466,76784.97656,10211.40039,2652.025146,43,29679.92578,8968.950195,9211,28607
"Microtus longicaudus",-109.2011,33.8839,-109.2011,33.8839,2764,474,1677,48,63829,2252.25,-1238.449951,3490.699951,1262,751,1317,-322,61249.57422,9671.450195,1869.400024,45,24559.40039,7363.125,20930,15477
"Microtus longicaudus",-109.35,33.6006,-109.35,33.6006,2788,569,1611,48,63194,2276.149902,-1074.375,3350.524902,1343,852,1406,-225,73330.82813,9688.025391,1863.074951,40,25877.42578,8336.049805,21066,22241
"Microtus longicaudus",-109.4133,33.9905,-109.4133,33.9905,2783,486,1650,47,63555,2217.725098,-1228.574951,3446.300049,1270,763,1323,-307,65070.89844,10043.59961,1974.800049,46,25441.84961,8083.424805,22268,17291
"Microtus longicaudus",-116.916578,38.666252,-116.916578,38.666252,2536,546,1411,38,74748,2573.449951,-1052.25,3625.699951,12,1513,1580,-344,42561.52344,5925.049805,1395.400024,38,15419.32422,5669,6426,13969
"Microtus longicaudus",-116.96317,38.71333,-116.96317,38.71333,2434,575,1462,40,75038,2648.149902,-1002.800049,3650.949951,-205,1545,1608,-322,42180.17578,5954.075195,1346.975098,39,15377.05078,5529.675293,6309,13768
"Microtus longicaudus",-116.95392,38.71333,-116.95392,38.71333,2480,497,1417,40,73397,2519.975098,-1013.974976,3533.950195,-265,1451,1515,-368,47434.47656,6839.350098,1281.824951,42,17666.80078,5687.849609,6637,15919
"Microtus longicaudus",-109.844742,34.037867,-109.844742,34.037867,1992,939,1741,47,70522,2823.149902,-824.174988,3647.324951,1807,1256,1855,40,59744.55078,9307.700195,1757.550049,44,23080.45117,7263.525391,19703,15882
"Microtus longicaudus",-120.33,44.48,-120.33,44.48,1555,615,1225,38,65440,2459.524902,-693.349976,3152.875,-88,1489,1489,-193,58802.875,9199.724609,1228.75,50,24676.84961,5498,5498,22236
"Microtus longicaudus",-111.56333,41.57472,-111.56333,41.57472,1778,530,1817,41,83461,2911.699951,-1420.200073,4331.899902,-397,1612,1612,-561,47383.77344,6059.100098,1980.974976,30,16148.27539,6892.475098,6892,15107
"Microtus longicaudus",-106.923897,37.464702,-106.923897,37.464702,2571,365,1817,43,79509,2490.524902,-1672.525024,4163.049805,-518,720,1387,-678,82052.77344,10026.4502,3088.5,28,27221.42578,13341.55078,19349,24059
"Microtus longicaudus",-106.554104,38.167276,-106.554104,38.167276,3002,302,1573,40,81603,2315.949951,-1601.224976,3917.174805,1289,-588,1352,-754,39364.77344,5898.224609,2176.550049,35,14964.7998,7182.674805,13482,7698
"Microtus longicaudus",-113.04667,37.40139,-113.04667,37.40139,2434,555,1439,41,70161,2439.225098,-1004,3443.225098,-192,820,1507,-298,55102.22656,6782.075195,1431.875,30,19024.67578,9902.550781,11449,17080
"Microtus longicaudus",-118.999614,37.630973,-118.999614,37.630973,2496,450,1652,47,62675,2407.625,-1068.525024,3476.149902,-299,1296,1296,-299,73609.89844,15646.17578,557.575012,88,42528.52734,2493.699951,2494,42529
